rel_path	override_collection
items/ebfe/0ffc1025f2d3a4acd2ead9d5eda0d9fd/GRAY_SPRING_BR.json	ble_12070101_LowerBrazosLittleBrazos
items/ebfe/0ffdfabfd6e56840a736395af56e731f/UNT008_IN_SNCR.json	ble_11140101_Boisd_ArcIsland
items/ebfe/100cbc668352539878c45671a39eb5ca/UNT_102_in_Old_River_Watershed.json	ble_12070101_LowerBrazosLittleBrazos
items/ebfe/101660c943f6067f986b3b0409b781b8/UNT00821_IN_SCRR.json	ble_11140101_Boisd_ArcIsland
items/ebfe/10194bdad5432eb3a7742bf12f3ad5b9/WHITE_CREEK_TRIBUTARY_14.json	ble_12070101_LowerBrazosLittleBrazos
items/ebfe/107aef122932c80513f6995204ef5549/COFFEE_MILL_CREEK.json	ble_11140101_Boisd_ArcIsland
items/ebfe/10d2331defa6af0ce572baba9427da67/UNT_046_in_BCBC_Watershed.json	ble_12070101_LowerBrazosLittleBrazos
items/ebfe/10e62748dcdd4b22d660dd512036f740/UNT055_IN_SNCR.json	ble_11140101_Boisd_ArcIsland
items/ebfe/11092651f8250713d06eb01c6b3ab67d/ALLIGATOR_CREEK_TRIBUTARY_11.json	ble_12070101_LowerBrazosLittleBrazos
items/ebfe/11096eb6a42f18ac0b137ff983915082/UNT_107_in_Beason_Cr_Watershed.json	ble_12070101_LowerBrazosLittleBrazos
items/ebfe/114c07f847188bd14dc39f3692913f69/UNT036_IN_GBRR.json	ble_11140101_Boisd_ArcIsland
items/ebfe/114eddeff22732eb96c8e3743e2da0b4/MUD_CREEK_TRIB_7_3.json	ble_12070101_LowerBrazosLittleBrazos
items/ebfe/1154ae2f5dbfb4b7d632885c59c0a965/Cedar_Creek.json	ble_12070101_LowerBrazosLittleBrazos
items/ebfe/115c51a1285a9ef2e2b3df797c91028b/BEE_BR_W_TRIB_9.json	ble_12070101_LowerBrazosLittleBrazos
items/ebfe/11b0e0ff7de2971280651c04e1d430e0/UNT053_IN_ISLB.json	ble_11140101_Boisd_ArcIsland
items/ebfe/11c8321c92be0b7daf477a76ad1b6e5a/MUSTANG_BRANCH.json	ble_12070101_LowerBrazosLittleBrazos
